name,amenity_type,osm-type,latitude,longitude
St Elizabeth Medical Clinic,clinic,node,-1.3109131,36.7900408
Royal Clinic,clinic,node,-1.3158943,36.7938883
Shachif Health Unit,clinic,node,-1.3158759,36.7952358
Senye Clinic,clinic,node,-1.3144036,36.7761783
Frepals Nursing Home,clinic,node,-1.3117443,36.7929726
St Mac's Clinic,clinic,node,-1.3119267,36.7977924
Silanga Dispensary,clinic,node,-1.3173678,36.796057
Senye Medical Clinic and Laboratory,clinic,node,-1.3129567,36.7754911
St Knight Medical Clinic,clinic,node,-1.3145607,36.7828489
Kishep Medical Centre and Dental Clinic,clinic,node,-1.3128435,36.7959341
Mary Medical clinic,clinic,node,-1.3133844,36.7964865
Okoa Medical Clinic,clinic,node,-1.3168583,36.7958725
St Emmaculate James,clinic,node,-1.3172686,36.7978807
Universe Medical Clinic,clinic,node,-1.3171214,36.7946621
Gemkam Medical Clinic,clinic,node,-1.3170903,36.7967088
St Knight Medical Clinic,clinic,node,-1.317186,36.7975113
Kisembo Medical Clinic,clinic,node,-1.3132558,36.7899997
Tumaini Medical Clinic,clinic,node,-1.3087557,36.7731928
Uzima Chemist,clinic,node,-1.3150604,36.782461
Lea Toto Community (Mukuru Reuben),clinic,node,-1.3159102,36.8694824
Nakhayo Medical Clinic,clinic,node,-1.3114323,36.7879942
Unnamed Facility,clinic,node,-1.3111864,36.8424343
Huruma Lions Health Center,clinic,node,-1.2609517,36.8668456
MSF,clinic,node,-1.2660199,36.8533965
Ebenezer Clinic and Chemist,clinic,node,-1.248706,36.8831751
Grace Chemist and Clinic,clinic,node,-1.2489842,36.883296
Hope Medical Clinic,clinic,node,-1.2478573,36.8856522
Joy Medical Clinic,clinic,node,-1.2478133,36.8832957
Redeemed Gospel Church Clinic,clinic,node,-1.2468798,36.8878506
St. Florence Medical Clinic,clinic,node,-1.2485588,36.8849476
Lusky summer tumaini clinic,clinic,node,-1.2412836,36.8975021
Keza Health Care Services,clinic,node,-1.2468717,36.883334
